marka,model,raw_real_count,train_real_count,unique_year_count,min_year,max_year,min_km,median_km,max_km,min_price,median_price,max_price,price_cv,price_age_corr,current_hp_support,current_hp_source,current_hp_method,source_distribution,arabam_count,kaggle_count,in_ui_catalog,synthetic_candidate,priority,recommended_synthetic_count,reason,synthetic_safe,safety_reason,interpolation_year_range,interpolation_km_range,interpolation_price_range
Fiat,500 Abarth,2,0,2,2013.0,2017.0,8000.0,24428.5,40857.0,2700000.0,3100000.0,3500000.0,0.129,,33657,brand,fallback_brand,arabam=2,2,0,True,True,CRITICAL,3,0 gercek egitim kaydi (ham: 2). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (2 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2013-2017,"8,000-40,857","2,700,000-3,500,000"
Fiat,600e,5,0,2,2024.0,2025.0,6001.0,6100.0,25000.0,1585000.0,1750000.0,1780000.0,0.0425,-0.5129,33657,brand,fallback_brand,arabam=5,5,0,True,True,CRITICAL,3,0 gercek egitim kaydi (ham: 5). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (2 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2024-2025,"6,001-25,000","1,585,000-1,780,000"
Ford,Bronco Sport,2,0,1,2023.0,2023.0,6600.0,7200.0,7800.0,3175000.0,3312500.0,3450000.0,0.0415,,25121,brand,fallback_brand,arabam=2,2,0,True,True,CRITICAL,3,0 gercek egitim kaydi (ham: 2). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2023-2023,"6,600-7,800","3,175,000-3,450,000"
Ford,F,2,0,1,2023.0,2023.0,6100.0,10550.0,15000.0,6550000.0,6650000.0,6750000.0,0.015,,1,model,fallback_model,arabam=2,2,0,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 2). premium fiyat segmenti (medyan 6,650,000 >= p90 esigi 3,375,000); hierarchical_price destegi dusuk (n=1); hierarchical_price model katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2023-2023,"6,100-15,000","6,550,000-6,750,000"
Ford,Mustang Mach-E,13,0,3,2021.0,2023.0,30.0,12000.0,113000.0,2590000.0,2970000.0,3975000.0,0.1447,-0.2429,25121,brand,fallback_brand,arabam=13,13,0,True,True,CRITICAL,1,0 gercek egitim kaydi (ham: 13). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: zaten yeterli GUNCEL gercek ornek (arabam=13).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2021-2023,"30-113,000","2,590,000-3,975,000"
Ford,Thunderbird,1,0,1,2002.0,2002.0,83165.0,83165.0,83165.0,6095000.0,6095000.0,6095000.0,0.0,,25121,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,1,"0 gercek egitim kaydi (ham: 1). premium fiyat segmenti (medyan 6,095,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2002), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2002-2002,"83,165-83,165","6,095,000-6,095,000"
Honda,ZR-V,3,0,1,2023.0,2023.0,6893.0,22600.0,54000.0,2950000.0,3099000.0,3693500.0,0.0989,,9723,brand,fallback_brand,arabam=3,3,0,True,True,CRITICAL,3,0 gercek egitim kaydi (ham: 3). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2023-2023,"6,893-54,000","2,950,000-3,693,500"
Kia,EV9,7,0,4,2023.0,2026.0,0.0,48000.0,70000.0,4500000.0,5400000.0,7290000.0,0.1638,-0.8992,4867,brand,fallback_brand,arabam=7,7,0,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 7). premium fiyat segmenti (medyan 5,400,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2023-2026,"0-70,000","4,500,000-7,290,000"
Lotus,Emira,1,0,1,2024.0,2024.0,0.0,0.0,0.0,19800000.0,19800000.0,19800000.0,0.0,,2,brand,fallback_brand,kaggle=1,0,1,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 1). premium fiyat segmenti (medyan 19,800,000 >= p90 esigi 3,375,000); hierarchical_price destegi dusuk (n=2); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2024-2024,0-0,"19,800,000-19,800,000"
MG,Marvel R,1,0,1,2023.0,2023.0,15000.0,15000.0,15000.0,2599999.0,2599999.0,2599999.0,0.0,,324,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,3,0 gercek egitim kaydi (ham: 1). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2023-2023,"15,000-15,000","2,599,999-2,599,999"
Maserati,MC20,1,0,1,2021.0,2021.0,6100.0,6100.0,6100.0,22900000.0,22900000.0,22900000.0,0.0,,108,brand,fallback_brand,kaggle=1,0,1,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 1). premium fiyat segmenti (medyan 22,900,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2021-2021,"6,100-6,100","22,900,000-22,900,000"
Milyon Moto,Kurye 68200,1,0,1,2025.0,2025.0,0.0,0.0,0.0,120000.0,120000.0,120000.0,0.0,,3,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,1,"0 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=3); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 120,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2025-2025,0-0,"120,000-120,000"
Mondial,E-Mon Assist DS,1,0,1,2020.0,2020.0,6000.0,6000.0,6000.0,52000.0,52000.0,52000.0,0.0,,3,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,1,"0 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=3); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 52,000 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2020-2020,"6,000-6,000","52,000-52,000"
Motolux,WOW 01,1,0,1,2026.0,2026.0,0.0,0.0,0.0,355000.0,355000.0,355000.0,0.0,,7,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,3,0 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=7); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2026-2026,0-0,"355,000-355,000"
Musatti,Dora 4000,1,0,1,2025.0,2025.0,0.0,0.0,0.0,99900.0,99900.0,99900.0,0.0,,2,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,1,"0 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=2); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 99,900 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2025-2025,0-0,"99,900-99,900"
Nissan,300 ZX,1,0,1,1989.0,1989.0,62000.0,62000.0,62000.0,5500000.0,5500000.0,5500000.0,0.0,,6303,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,1,"0 gercek egitim kaydi (ham: 1). premium fiyat segmenti (medyan 5,500,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1989), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1989-1989,"62,000-62,000","5,500,000-5,500,000"
Nissan,350 Z,7,0,5,2003.0,2007.0,54971.0,141000.0,148000.0,3300000.0,3400000.0,4875000.0,0.1459,0.2277,6303,brand,fallback_brand,"arabam=3, kaggle=4",3,4,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 7). premium fiyat segmenti (medyan 3,400,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2003-2007,"54,971-148,000","3,300,000-4,875,000"
Opel,GT,3,0,2,2007.0,2008.0,53521.0,111078.0,146000.0,2400000.0,2749000.0,3350000.0,0.1385,0.9144,6,model,fallback_model,arabam=3,3,0,True,True,CRITICAL,1,"0 gercek egitim kaydi (ham: 3). hierarchical_price destegi dusuk (n=6); hierarchical_price model katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (2 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=2008), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2007-2008,"53,521-146,000","2,400,000-3,350,000"
Opel,Grandland-e,27,0,2,2024.0,2025.0,6001.0,15000.0,39802.0,1995000.0,2250000.0,3850000.0,0.1494,-0.0392,21817,brand,fallback_brand,arabam=27,27,0,True,True,CRITICAL,1,0 gercek egitim kaydi (ham: 27). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (2 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: zaten yeterli GUNCEL gercek ornek (arabam=27).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2024-2025,"6,001-39,802","1,995,000-3,850,000"
Opel,Zafira-e,2,0,1,2025.0,2025.0,10000.0,17000.0,24000.0,2100000.0,2164500.0,2229000.0,0.0298,,21817,brand,fallback_brand,arabam=2,2,0,True,True,CRITICAL,3,0 gercek egitim kaydi (ham: 2). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2025-2025,"10,000-24,000","2,100,000-2,229,000"
Renault,Rafale,11,0,2,2024.0,2025.0,8592.0,32000.0,52000.0,2225000.0,2750000.0,3250000.0,0.0981,-0.5291,34537,brand,fallback_brand,arabam=11,11,0,True,True,CRITICAL,1,0 gercek egitim kaydi (ham: 11). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (2 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: zaten yeterli GUNCEL gercek ornek (arabam=11).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2024-2025,"8,592-52,000","2,225,000-3,250,000"
Skyjet,Re Van,1,0,1,2025.0,2025.0,0.0,0.0,0.0,134470.0,134470.0,134470.0,0.0,,9,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,1,"0 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=9); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: dusuk fiyat etkisi (medyan 134,470 <= p25 esigi 320,000).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",2025-2025,0-0,"134,470-134,470"
Volkswagen,ID.7,5,0,2,2024.0,2025.0,6001.0,9307.0,37000.0,3350000.0,3699000.0,3865000.0,0.0601,-0.5773,30675,brand,fallback_brand,arabam=5,5,0,True,True,CRITICAL,3,"0 gercek egitim kaydi (ham: 5). premium fiyat segmenti (medyan 3,699,000 >= p90 esigi 3,375,000); hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (2 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2024-2025,"6,001-37,000","3,350,000-3,865,000"
Volta,V1,1,0,1,2026.0,2026.0,0.0,0.0,0.0,589000.0,589000.0,589000.0,0.0,,89,brand,fallback_brand,arabam=1,1,0,True,True,CRITICAL,3,0 gercek egitim kaydi (ham: 1). hierarchical_price brand katmanina duesuyor (kendi brand_model verisi yok/yetersiz); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2026-2026,0-0,"589,000-589,000"
Acura,ILX,1,1,1,2014.0,2014.0,91000.0,91000.0,91000.0,950000.0,950000.0,950000.0,0.0,,1,brand_model,median,arabam=1,1,0,True,True,CRITICAL,3,1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2014-2014,"91,000-91,000","950,000-950,000"
Acura,Integra,1,1,1,1996.0,1996.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,1,"1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir). azaltici: cok eski model (max_year=1996), piyasada nadir - dusuk oncelik.",False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 2 idi)",1996-1996,"500,000-500,000","500,000-500,000"
Aion,S,1,1,1,2021.0,2021.0,70000.0,70000.0,70000.0,1099000.0,1099000.0,1099000.0,0.0,,1,brand_model,median,kaggle=1,0,1,True,True,CRITICAL,3,1 gercek egitim kaydi (ham: 1). hierarchical_price destegi dusuk (n=1); model yili cesitliligi cok dusuk (1 farkli yil); UI kataloginda secilebilir (kullanici gercekten bu araci secebilir).,False,"n<2: aralik/varyans tanimlanamaz, interpolasyon icin yeterli nokta yok; tek model yili: yil ekseninde interpolasyon bolgesi yok; guvenli olmadigi icin onerilen sayi yariya indirildi (asil oneri 6 idi)",2021-2021,"70,000-70,000","1,099,000-1,099,000"
